Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,IFAS
1950.0,Curly Armstrong,G-F,31.0,FTW,63.0,,,,0.368,,0.467,,,,,,,,,-0.1,3.6,3.5,,,,,,144.0,516.0,0.27899999999999997,,,,144.0,516.0,0.27899999999999997,0.27899999999999997,170.0,241.0,0.705,,,,176.0,,,,217.0,458.0,0
1950.0,Cliff Barker,SG,29.0,INO,49.0,,,,0.435,,0.387,,,,,,,,,1.6,0.6,2.2,,,,,,102.0,274.0,0.37200000000000005,,,,102.0,274.0,0.37200000000000005,0.37200000000000005,75.0,106.0,0.708,,,,109.0,,,,99.0,279.0,0
1950.0,Leo Barnhorst,SF,25.0,CHS,67.0,,,,0.39399999999999996,,0.259,,,,,,,,,0.9,2.8,3.6,,,,,,174.0,499.0,0.349,,,,174.0,499.0,0.349,0.349,90.0,129.0,0.698,,,,140.0,,,,192.0,438.0,1
1950.0,Ed Bartels,F,24.0,TOT,15.0,,,,0.312,,0.395,,,,,,,,,-0.5,-0.1,-0.6,,,,,,22.0,86.0,0.256,,,,22.0,86.0,0.256,0.256,19.0,34.0,0.5589999999999999,,,,20.0,,,,29.0,63.0,0
1950.0,Ralph Beard,G,22.0,INO,60.0,,,,0.42200000000000004,,0.301,,,,,,,,,3.6,1.2,4.8,,,,,,340.0,936.0,0.363,,,,340.0,936.0,0.363,0.363,215.0,282.0,0.762,,,,233.0,,,,132.0,895.0,1
1950.0,Gene Berce,G-F,23.0,TRI,3.0,,,,0.275,,0.313,,,,,,,,,-0.1,0.0,-0.1,,,,,,5.0,16.0,0.313,,,,5.0,16.0,0.313,0.313,0.0,5.0,0.0,,,,2.0,,,,6.0,10.0,0
1950.0,Charlie Black,F-C,28.0,TOT,65.0,,,,0.34600000000000003,,0.395,,,,,,,,,-2.2,5.0,2.8,,,,,,226.0,813.0,0.278,,,,226.0,813.0,0.278,0.278,209.0,321.0,0.6509999999999999,,,,163.0,,,,273.0,661.0,0
1950.0,Nelson Bobb,PG,25.0,PHW,57.0,,,,0.396,,0.528,,,,,,,,,0.4,1.3,1.8,,,,,,80.0,248.0,0.32299999999999995,,,,80.0,248.0,0.32299999999999995,0.32299999999999995,82.0,131.0,0.626,,,,46.0,,,,97.0,242.0,0
1950.0,Jake Bornheimer,F-C,22.0,PHW,60.0,,,,0.35600000000000004,,0.384,,,,,,,,,-0.7,1.5,0.8,,,,,,88.0,305.0,0.289,,,,88.0,305.0,0.289,0.289,78.0,117.0,0.667,,,,40.0,,,,111.0,254.0,0
1950.0,Vince Boryla,SF,22.0,NYK,59.0,,,,0.426,,0.445,,,,,,,,,2.6,1.4,3.9,,,,,,204.0,600.0,0.34,,,,204.0,600.0,0.34,0.34,204.0,267.0,0.764,,,,95.0,,,,203.0,612.0,1
1950.0,Don Boven,F-G,24.0,WAT,62.0,,,,0.461,,0.625,,,,,,,,,4.4,-0.7,3.8,,,,,,208.0,558.0,0.373,,,,208.0,558.0,0.373,0.373,240.0,349.0,0.688,,,,137.0,,,,255.0,656.0,0
1950.0,Harry Boykoff,C,27.0,WAT,61.0,,,,0.479,,0.375,,,,,,,,,6.0,-0.7,5.3,,,,,,288.0,698.0,0.413,,,,288.0,698.0,0.413,0.413,203.0,262.0,0.775,,,,149.0,,,,229.0,779.0,0
1950.0,Joe Bradley,G,21.0,CHS,46.0,,,,0.289,,0.284,,,,,,,,,-1.0,0.7,-0.3,,,,,,36.0,134.0,0.26899999999999996,,,,36.0,134.0,0.26899999999999996,0.26899999999999996,15.0,38.0,0.395,,,,36.0,,,,51.0,87.0,0
